Country,Region,Subregion,Intermediate,Development
Martinique,Americas,Latin America and the Caribbean,Caribbean,Developing
Montserrat,Americas,Latin America and the Caribbean,Caribbean,Developing
Puerto Rico,Americas,Latin America and the Caribbean,Caribbean,Developing
Saint Barthélemy,Americas,Latin America and the Caribbean,Caribbean,Developing
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,Developing
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,Developing
Saint Martin (French Part),Americas,Latin America and the Caribbean,Caribbean,Developing
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,Developing
Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,Caribbean,Developing
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,Developing
Turks and Caicos Islands,Americas,Latin America and the Caribbean,Caribbean,Developing
United States Virgin Islands,Americas,Latin America and the Caribbean,Caribbean,Developing
Belize,Americas,Latin America and the Caribbean,Central America,Developing
Costa Rica,Americas,Latin America and the Caribbean,Central America,Developing
El Salvador,Americas,Latin America and the Caribbean,Central America,Developing
Guatemala,Americas,Latin America and the Caribbean,Central America,Developing
Honduras,Americas,Latin America and the Caribbean,Central America,Developing
Mexico,Americas,Latin America and the Caribbean,Central America,Developing
Nicaragua,Americas,Latin America and the Caribbean,Central America,Developing
Panama,Americas,Latin America and the Caribbean,Central America,Developing
Argentina,Americas,Latin America and the Caribbean,South America,Developing
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,South America,Developing
Bouvet Island,Americas,Latin America and the Caribbean,South America,Developing
Brazil,Americas,Latin America and the Caribbean,South America,Developing
Chile,Americas,Latin America and the Caribbean,South America,Developing
Colombia,Americas,Latin America and the Caribbean,South America,Developing
Ecuador,Americas,Latin America and the Caribbean,South America,Developing
Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,South America,Developing
French Guiana,Americas,Latin America and the Caribbean,South America,Developing
Guyana,Americas,Latin America and the Caribbean,South America,Developing
Paraguay,Americas,Latin America and the Caribbean,South America,Developing
Peru,Americas,Latin America and the Caribbean,South America,Developing
South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,South America,Developing
Suriname,Americas,Latin America and the Caribbean,South America,Developing
Uruguay,Americas,Latin America and the Caribbean,South America,Developing
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,South America,Developing
Bermuda,Americas,Northern America,,Developed
Canada,Americas,Northern America,,Developed
Greenland,Americas,Northern America,,Developed
Saint Pierre and Miquelon,Americas,Northern America,,Developed
United States of America,Americas,Northern America,,Developed
Antarctica,,,,
Kazakhstan,Asia,Central Asia,,Developing
Kyrgyzstan,Asia,Central Asia,,Developing
Tajikistan,Asia,Central Asia,,Developing
Turkmenistan,Asia,Central Asia,,Developing
Uzbekistan,Asia,Central Asia,,Developing
China,Asia,Eastern Asia,,Developing
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,,Developing
"China, Macao Special Administrative Region",Asia,Eastern Asia,,Developing
Democratic People's Republic of Korea,Asia,Eastern Asia,,Developing
Japan,Asia,Eastern Asia,,Developed
Mongolia,Asia,Eastern Asia,,Developing
Republic of Korea,Asia,Eastern Asia,,Developing
Brunei Darussalam,Asia,South-eastern Asia,,Developing
Cambodia,Asia,South-eastern Asia,,Developing
Indonesia,Asia,South-eastern Asia,,Developing
Lao People's Democratic Republic,Asia,South-eastern Asia,,Developing
Malaysia,Asia,South-eastern Asia,,Developing
Myanmar,Asia,South-eastern Asia,,Developing
Philippines,Asia,South-eastern Asia,,Developing
Singapore,Asia,South-eastern Asia,,Developing
Thailand,Asia,South-eastern Asia,,Developing
Timor-Leste,Asia,South-eastern Asia,,Developing
Viet Nam,Asia,South-eastern Asia,,Developing
Afghanistan,Asia,Southern Asia,,Developing
Bangladesh,Asia,Southern Asia,,Developing
Bhutan,Asia,Southern Asia,,Developing
India,Asia,Southern Asia,,Developing
Iran (Islamic Republic of),Asia,Southern Asia,,Developing
Maldives,Asia,Southern Asia,,Developing
Nepal,Asia,Southern Asia,,Developing
Pakistan,Asia,Southern Asia,,Developing
Sri Lanka,Asia,Southern Asia,,Developing
Armenia,Asia,Western Asia,,Developing
Azerbaijan,Asia,Western Asia,,Developing
Bahrain,Asia,Western Asia,,Developing
Cyprus,Asia,Western Asia,,Developing
Georgia,Asia,Western Asia,,Developing
Iraq,Asia,Western Asia,,Developing
Israel,Asia,Western Asia,,Developing
Jordan,Asia,Western Asia,,Developing
Kuwait,Asia,Western Asia,,Developing
Lebanon,Asia,Western Asia,,Developing
Oman,Asia,Western Asia,,Developing
Qatar,Asia,Western Asia,,Developing
Saudi Arabia,Asia,Western Asia,,Developing
State of Palestine,Asia,Western Asia,,Developing
Syrian Arab Republic,Asia,Western Asia,,Developing
Turkey,Asia,Western Asia,,Developing
United Arab Emirates,Asia,Western Asia,,Developing
Yemen,Asia,Western Asia,,Developing
Belarus,Europe,Eastern Europe,,Developed
Bulgaria,Europe,Eastern Europe,,Developed
Czechia,Europe,Eastern Europe,,Developed
Hungary,Europe,Eastern Europe,,Developed
Poland,Europe,Eastern Europe,,Developed
Republic of Moldova,Europe,Eastern Europe,,Developed
Romania,Europe,Eastern Europe,,Developed
Russian Federation,Europe,Eastern Europe,,Developed
Slovakia,Europe,Eastern Europe,,Developed
Ukraine,Europe,Eastern Europe,,Developed
Åland Islands,Europe,Northern Europe,,Developed
Guernsey,Europe,Northern Europe,Channel Islands,Developed
Jersey,Europe,Northern Europe,Channel Islands,Developed
Sark,Europe,Northern Europe,Channel Islands,Developed
Denmark,Europe,Northern Europe,,Developed
Estonia,Europe,Northern Europe,,Developed
Faroe Islands,Europe,Northern Europe,,Developed
Finland,Europe,Northern Europe,,Developed
Iceland,Europe,Northern Europe,,Developed
Ireland,Europe,Northern Europe,,Developed
Isle of Man,Europe,Northern Europe,,Developed
Latvia,Europe,Northern Europe,,Developed
Lithuania,Europe,Northern Europe,,Developed
Norway,Europe,Northern Europe,,Developed
Svalbard and Jan Mayen Islands,Europe,Northern Europe,,Developed
Sweden,Europe,Northern Europe,,Developed
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,,Developed
Albania,Europe,Southern Europe,,Developed
Andorra,Europe,Southern Europe,,Developed
Bosnia and Herzegovina,Europe,Southern Europe,,Developed
Croatia,Europe,Southern Europe,,Developed
Gibraltar,Europe,Southern Europe,,Developed
Greece,Europe,Southern Europe,,Developed
Holy See,Europe,Southern Europe,,Developed
Italy,Europe,Southern Europe,,Developed
Malta,Europe,Southern Europe,,Developed
Montenegro,Europe,Southern Europe,,Developed
Portugal,Europe,Southern Europe,,Developed
San Marino,Europe,Southern Europe,,Developed
Serbia,Europe,Southern Europe,,Developed
Slovenia,Europe,Southern Europe,,Developed
Spain,Europe,Southern Europe,,Developed
The former Yugoslav Republic of Macedonia,Europe,Southern Europe,,Developed
Austria,Europe,Western Europe,,Developed
Belgium,Europe,Western Europe,,Developed
France,Europe,Western Europe,,Developed
Germany,Europe,Western Europe,,Developed
Liechtenstein,Europe,Western Europe,,Developed
Luxembourg,Europe,Western Europe,,Developed
Monaco,Europe,Western Europe,,Developed
Netherlands,Europe,Western Europe,,Developed
Switzerland,Europe,Western Europe,,Developed
Australia,Oceania,Australia and New Zealand,,Developed
Christmas Island,Oceania,Australia and New Zealand,,Developed
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,Developed
Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,Developed
New Zealand,Oceania,Australia and New Zealand,,Developed
Norfolk Island,Oceania,Australia and New Zealand,,Developed
Fiji,Oceania,Melanesia,,Developing
New Caledonia,Oceania,Melanesia,,Developing
Papua New Guinea,Oceania,Melanesia,,Developing
Solomon Islands,Oceania,Melanesia,,Developing
Vanuatu,Oceania,Melanesia,,Developing
Guam,Oceania,Micronesia,,Developing
Kiribati,Oceania,Micronesia,,Developing
Marshall Islands,Oceania,Micronesia,,Developing
Micronesia (Federated States of),Oceania,Micronesia,,Developing
Nauru,Oceania,Micronesia,,Developing
Northern Mariana Islands,Oceania,Micronesia,,Developing
Palau,Oceania,Micronesia,,Developing
United States Minor Outlying Islands,Oceania,Micronesia,,Developing
American Samoa,Oceania,Polynesia,,Developing
Cook Islands,Oceania,Polynesia,,Developing
French Polynesia,Oceania,Polynesia,,Developing
Niue,Oceania,Polynesia,,Developing
Pitcairn,Oceania,Polynesia,,Developing
Samoa,Oceania,Polynesia,,Developing
Tokelau,Oceania,Polynesia,,Developing
Tonga,Oceania,Polynesia,,Developing
Tuvalu,Oceania,Polynesia,,Developing
Wallis and Futuna Islands,Oceania,Polynesia,,Developing
